user_id,total_play_seconds,artist,genre,track,city,time,day
BF6EA5AF,92.85138808302445,Marina Rei,pop,Musica,Moscow,21:20:49,Monday
FB1E568E,282.981,Stive Morgan,ambient,Love Planet,Moscow,09:17:40,Friday
EF15C7BA,8.966000000000003,unknown,dance,Loving Every Minute,Saint-Petersburg,20:47:49,Monday
82F52E69,193.7763265306123,Rixton,pop,Me And My Broken Heart,Saint-Petersburg,13:09:41,Friday
4166D680,3.0069999999999997,Henry Hall & His Gleneagles Hotel Band,jazz,Home,Saint-Petersburg,13:00:07,Wednesday
F4F5677,0.1,unknown,classicmetal,unknown,Saint-Petersburg,20:28:33,Monday
386FE1ED,211.88,unknown,electronic,Riviera,Saint-Petersburg,14:07:09,Wednesday
A5E0D927,3.161,Andrew Paul Woodworth,pop,The Name of This Next Song Is Called,Saint-Petersburg,08:34:34,Wednesday
4D8D4370,8.836,Pillar Point,indie,Dove,Moscow,14:07:09,Monday
E9E8A0CA,274.39,Pillar Point,indie,Dove,Saint-Petersburg,10:34:34,Monday
CADC0B1A,274.39,Rixton,David Civera,Morning Dew,Saint-Petersburg,13:00:07,Friday
D3DD8D00,8.836,Steve Campbell,jazz,Morning Dew,Saint-Petersburg,08:34:34,Wednesday
596A4517,0.0,David Civera,pop,Bye Bye,Saint-Petersburg,08:34:34,Monday
2E50EDF9,245.04,Lumipa Beats,hiphop,Cludo,Saint-Petersburg,13:00:07,Friday
1D1186AA,Friday,Lumipa Beats,hiphop,Cludo,Moscow,13:00:07,Monday
79D2876C,2.0,Henning Wehland,pop,Räuber und Gendarm,Saint-Petersburg,08:00:34,Friday
96DA13A1,0.0,Пётр Каледин,spoken,Пойти и не вернуться. Глава 1,Saint-Petersburg,08:34:00,Monday
4023830D,46.885,ChinKong,dance,Live Life,Saint-Petersburg,15:00:07,Friday
AEAEF451,15.0,Albatraoz,pop,General Zod,Saint-Petersburg,11:40:34,Monday
285648EF,0.1,Pugs Atomz,dance,No Love,Saint-Petersburg,14:07:15,Friday
34811AC9,7.0,Zak Moore,dance,Feel Good,Moscow,06:34:34,Friday
892E9835,219.19086299999998,Kendra Springer,new,Sonora,Moscow,21:21:21,Monday
46EB28CD,254.862,Nathalie Cardone,latin,Hasta Siempre,Moscow,12:34:34,Wednesday
919EFA26,272.039167,Snowday,dance,Patterns,Moscow,17:34:34,Monday
A76F54E1,72.38968,Swords,indie,I Didn't Understand,Moscow,06:34:34,Wednesday
94E73621,8.109446121281469,Montezuma's Revenge,extrememetal,My God Is a Bad Cop,Moscow,15:00:07,Friday
13C442BF,217.0,unknown,dance,Lightspeed,Moscow,14:07:15,Monday
A6D6DBE7,208.822833,Музыка для изучения,instrumental,Инструментальная музыка,Moscow,20:58:07,Friday
9C97ECE2,214.256327,A-Life,dance,Don't Hurt Me,Moscow,14:07:09,Wednesday
DD08E7D1,27.164889000000002,Peter Holzmann,classical,The Seasons Op. 37A  (August  The Harvest): VIII. Allegro vivace,Moscow,20:58:07,Wednesday
22642B7C,28.873,Heathers,alternative,Forget Me Knots,Moscow,20:47:49,Friday
90004D45,3.253,IRISHA,dance,You Lose,Moscow,13:00:07,Monday
8808CC9B,3.253,IRISHA,dance,You Lose,Saint-Petersburg,20:58:07,Monday
8DA2ADAC,161.0,Tigerlily,dance,KICK BOOM,Moscow,20:58:07,Friday
65608E7C,0.1,Orinoco Haven,pop,Don't Dream It's Over,Moscow,08:34:34,Monday